id,label,intent,doc_type_hint,difficulty,tone,language,query,flags,created_at
3874b784-76d0-4a19-aa70-7f70c5a19e67,on_topic,account_billing,support,easy,neutral,en,What is your return window for {CATEGORY}?,[],2025-11-03T18:28:45.462089Z
acb4895b-7d38-456e-97a7-20027ac31e8d,on_topic,refunds,policy_page,medium,polite,es,How do I start a warranty claim for my {PRODUCT}?,[],2025-11-03T18:28:45.462089Z
cd6cbc46-4f6c-472f-8df7-603fb886fa18,on_topic,returns_policy,policy_page,hard,urgent,fr,Does {PRODUCT} ({MODEL}) work with {COMPETITOR} accessories?,[],2025-11-03T18:28:45.462089Z
1924f4c2-731a-4a53-8a31-41a13f2d7cb6,on_topic,subscription,support,adversarial,confused,de,Where do I find the size guide for {PRODUCT}?,[],2025-11-03T18:28:45.462089Z
8c9091b0-ba2d-464d-bdca-836e6db469e5,on_topic,product_specs,product,easy,angry,zh,When will {PRODUCT} ({MODEL}) restock in {REGION}?,[],2025-11-03T18:28:45.462089Z
af300ebf-3cc3-4718-8ffc-072d87298176,on_topic,warranty,policy_page,medium,neutral,en,What is the price of {PRODUCT} in {CURRENCY}?,[],2025-11-03T18:28:45.462089Z
a664d109-2c7f-40c3-9af3-b4c9b83e323b,on_topic,warranty,policy_page,hard,polite,es,How do I cancel my {BRAND} subscription?,[],2025-11-03T18:28:45.462089Z
0c20be32-5708-4974-847a-a37f5841cb60,on_topic,shipping,policy_page,adversarial,urgent,fr,Can I change billing from monthly to yearly?,[],2025-11-03T18:28:45.462089Z
86c33372-688e-4b9e-8a8c-334eb93ac0e1,on_topic,subscription,support,easy,confused,de,How do I track my shipment for order #{MODEL}?,[],2025-11-03T18:28:45.462089Z
7f75c298-e8ad-487c-bee6-7220b1113137,on_topic,refunds,policy_page,medium,angry,zh,Do you ship to {REGION}? Any extra fees?,[],2025-11-03T18:28:45.462089Z
f6989e07-d31e-448c-8651-c03cc82f88d6,on_topic,account_billing,support,hard,neutral,en,What is included in the box for {PRODUCT}?,[],2025-11-03T18:28:45.462089Z
8d87bfa7-c7a1-49f8-ad4c-67b245bb1af4,on_topic,subscription,support,adversarial,polite,es,"Is {PRODUCT} water resistant? If yes, to what rating?",[],2025-11-03T18:28:45.462089Z
b80979cc-9f17-41fc-971d-86251ee81c48,on_topic,roadmap,blog_exec,easy,urgent,fr,How long does the battery last on {PRODUCT} ({MODEL})?,[],2025-11-03T18:28:45.462089Z
7e997f47-dacd-443b-a3b2-e010ea6477cb,on_topic,setup,support,medium,confused,de,How do I set up {PRODUCT} for the first time?,[],2025-11-03T18:28:45.462089Z
9c58a8a1-24bc-4f72-90c0-7f08b5314f02,on_topic,refunds,policy_page,hard,angry,zh,My {PRODUCT} will not turn on. Any steps to fix it?,[],2025-11-03T18:28:45.462089Z
881859fe-ba7b-42a8-8be7-fb5b9f4b8aef,on_topic,troubleshooting,support,adversarial,neutral,en,What payment methods do you accept?,[],2025-11-03T18:28:45.462089Z
38759721-dfcf-4036-b18b-274a2022065d,on_topic,availability,product,easy,polite,es,Where do I download the {BRAND} app?,[],2025-11-03T18:28:45.462089Z
bb529463-9e84-461b-b11b-242f27fb3a64,on_topic,returns_policy,policy_page,medium,urgent,fr,Do you offer student discounts for {PRODUCT}?,[],2025-11-03T18:28:45.462089Z
d20cf6ca-00a8-4419-b99d-b033bd3bae21,on_topic,returns_policy,policy_page,hard,confused,de,How do I transfer my license to a new device?,[],2025-11-03T18:28:45.462089Z
9062a6aa-3d32-4828-99b9-647d5a74337c,on_topic,refunds,policy_page,adversarial,angry,zh,What is your data retention policy?,[],2025-11-03T18:28:45.462089Z
a9240980-d1fd-41b2-934f-3cb606c35402,on_topic,warranty,policy_page,easy,neutral,en,Where is {PRODUCT} manufactured?,[],2025-11-03T18:28:45.462089Z
4fb1bd11-7de5-497f-8cb3-d1284b3317ad,on_topic,warranty,policy_page,medium,polite,es,Do you have an accessibility statement?,[],2025-11-03T18:28:45.462089Z
9308ba61-1712-4ed5-822c-6e9a4366ec08,on_topic,setup,support,hard,urgent,fr,Can I return an opened {PRODUCT}?,[],2025-11-03T18:28:45.462089Z
0b560feb-e98d-48eb-be54-c94e99d91652,on_topic,troubleshooting,support,adversarial,confused,de,Do you provide volume discounts for teams?,[],2025-11-03T18:28:45.462089Z
fc0ac3c8-5d85-449f-9a88-b21de4751031,on_topic,returns_policy,policy_page,easy,angry,zh,Is {PRODUCT} compatible with {COMPETITOR} platform?,[],2025-11-03T18:28:45.462089Z
62a42b36-0651-469c-99bf-de112a574e57,on_topic,setup,support,medium,neutral,en,How do I export my data from the {BRAND} dashboard?,[],2025-11-03T18:28:45.462089Z
13f7482a-0432-4ea1-be80-1b62d42e8ffb,on_topic,warranty,policy_page,hard,polite,es,What carriers do you use for shipping?,[],2025-11-03T18:28:45.462089Z
0a3991aa-e06c-42aa-94ac-64cd0adac9b1,on_topic,subscription,support,adversarial,urgent,fr,Do you offer expedited shipping to {REGION}?,[],2025-11-03T18:28:45.462089Z
78618e71-8a6d-4c1a-8da6-73760cdb3f28,on_topic,account_billing,support,easy,confused,de,How do I update firmware on {PRODUCT}?,[],2025-11-03T18:28:45.462089Z
beba207c-be0d-4cca-9de2-ec85dc3d669c,on_topic,subscription,support,medium,angry,zh,Where can I find your {BRAND} roadmap?,[],2025-11-03T18:28:45.462089Z
0b5e9747-f99c-46c0-9c28-eea79ae0f706,on_topic,setup,support,hard,neutral,en,Any upcoming features for {PRODUCT} this quarter?,[],2025-11-03T18:28:45.462089Z
